FEATURE,TYPE,STRIKE,DIP_DIR,DIP,PLUNGE,TREND,RANK,PLOTRANK,EVENT,STRUCTYPEI,ROT_ANGLE,SYMBOL,raster_z,X,Y
"Metamorphic foliation, showing strike and dip",inclined,"105","195","15","0","0","0","0",,FOIN,"105","Metamorphic foliation, showing strike and dip; inclined","435",292721.142,6639902.818
"Metamorphic foliation, showing strike and dip",inclined,"185","275","65","0","0","0","0",,FOIN,"185","Metamorphic foliation, showing strike and dip; inclined","425",318582.186,6640288.902
"Metamorphic foliation, showing strike and dip",inclined,"5","95","55","0","0","0","0",,FOIN,"5","Metamorphic foliation, showing strike and dip; inclined","426",318683.100,6640264.361
"Metamorphic foliation, showing strike and dip",vertical,"345","75","90","0","0","0","0",,FOVE,"345","Metamorphic foliation, showing strike and dip; vertical","435",318596.736,6639767.854
"Metamorphic foliation, showing strike and dip",inclined,"355","85","70","0","0","0","0",,FOIN,"355","Metamorphic foliation, showing strike and dip; inclined","428",293026.276,6639251.872
"Metamorphic foliation, showing strike and dip",inclined,"5","95","80","0","0","0","0",,FOIN,"5","Metamorphic foliation, showing strike and dip; inclined","433",297857.813,6639309.914
"Metamorphic foliation, showing strike and dip",inclined,"85","175","65","0","0","0","0",,FOIN,"85","Metamorphic foliation, showing strike and dip; inclined","427",292832.671,6639131.857
"Metamorphic foliation, showing strike and dip",inclined,"125","215","60","0","0","0","0",,FOIN,"125","Metamorphic foliation, showing strike and dip; inclined","444",312035.258,6637750.360
"Metamorphic foliation, showing strike and dip",vertical,"100","190","90","0","0","0","0",,FOVE,"100","Metamorphic foliation, showing strike and dip; vertical","416",296452.334,6637378.234
"Metamorphic foliation, showing strike and dip",vertical,"251","161","90","0","0","0","0",,FOVE,"251","Metamorphic foliation, showing strike and dip; vertical","434",332160.103,6637029.826
"Metamorphic foliation, showing strike and dip",vertical,"127","217","90","0","0","0","0",,FOVE,"127","Metamorphic foliation, showing strike and dip; vertical","442",333251.263,6635933.783
"Metamorphic foliation, showing strike and dip",vertical,"131","221","90","0","0","0","0",,FOVE,"131","Metamorphic foliation, showing strike and dip; vertical","445",332403.775,6635735.940
"Metamorphic foliation, showing strike and dip",inclined,"345","75","-99","0","0","0","0",,FOIN,"345","Metamorphic foliation, showing strike and dip; inclined","457",331827.590,6635632.323
"Metamorphic foliation, showing strike and dip",inclined,"331","61","75","0","0","0","0",,FOIN,"331","Metamorphic foliation, showing strike and dip; inclined","440",332946.011,6635615.298
"Metamorphic foliation, showing strike and dip",inclined,"326","56","71","0","0","0","0",,FOIN,"326","Metamorphic foliation, showing strike and dip; inclined","445",332661.442,6634858.341
