X,Y,Z,fault_name
334387.5245,6633043.418,424.7991,Black Flag Fault
334293.0077,6632287.283,430.9339,Black Flag Fault
334266.0029,6631166.584,411.78101,Black Flag Fault
334130.9788,6630005.377,406.05948,Black Flag Fault
333801.8657,6628443.185,402.05884,Black Flag Fault
333599.406,6626854.841,396.03226,Black Flag Fault
333276.8439,6625343.883,394.13019,Black Flag Fault
332657.2593,6623814.89,378.98163,Black Flag Fault
332006.9858,6622623.383,374,Black Flag Fault
332941.8635,6624372.382,385.01392,Black Flag Fault
333549.2295,6626301.913,395.83334,Black Flag Fault
333725.7613,6627846.129,400.92914,Black Flag Fault
334029.7108,6629252.618,403.16946,Black Flag Fault
331268.9314,6621332.78,337,Black Flag Fault
330431.3083,6619826.666,343,Black Flag Fault
329829.3649,6617612.122,351,Black Flag Fault
329534.5591,6615567.147,381,Black Flag Fault
329123.4275,6611488.868,372,Black Flag Fault
329271.802,6613459.872,367,Black Flag Fault
328864.0917,6609819.522,373.51282,Black Flag Fault
328497.7155,6608082.389,380.16376,Black Flag Fault
328270.1638,6606500.628,367.07861,Black Flag Fault
328042.612,6604918.868,366.01315,Black Flag Fault
319272.5064,6629188.209,417,F1
319520.9369,6629301.109,418,F1
319737.307,6629399.44,420,F1
319891.7494,6629469.628,423,F1
320111.2379,6629569.376,434,F1
320276.5219,6629644.49,426,F1
320374.683,6629689.1,423,F1
320660.4031,6629818.947,426,F1
320544.8677,6629766.442,418,F1
320802.3736,6629883.467,426,F1
320951.1729,6629951.09,430,F1
321174.8197,6630052.727,433,F1
321470.0438,6630186.894,442,F1
321831.7988,6630351.296,438,F1
322101.7782,6630473.99,436,F1
322496.4994,6630653.373,434,F1
322836.5713,6630807.921,436,F1
323146.9441,6630948.972,434,F1
323355.4423,6631043.726,437,F1
323673.8343,6631188.421,435,F1
324047.7652,6631358.356,432,F1
324420.8065,6631527.887,431,F1
324804.1496,6631702.1,430,F1
