X,Y,Z,fault_name
283208.2490072077,6584026.102587137,482.93454,Ida Fault
283335.3422924008,6583401.5277091,480.0289,Ida Fault
283585.8722331006,6582090.218616389,472.68512,Ida Fault
283491.3775449184,6582634.723242093,481.9274,Ida Fault
283796.64126930526,6580875.708918817,478.98975,Ida Fault
283699.7326614208,6581434.123219963,472.57516,Ida Fault
283985.0460734855,6579980.693020294,485.00732,Ida Fault
284173.45087767125,6579085.677121769,483.86691,Ida Fault
284134.0101429059,6577711.191819923,465.95261,Ida Fault
284150.1020041576,6578271.983268154,474.02951,Ida Fault
284160.3963779352,6578630.735850628,478.90265,Ida Fault
284111.17295219604,6576915.329796614,466.04846,Ida Fault
284094.82306442864,6576345.546283271,472.99887,Ida Fault
284076.8860279864,6575720.451616721,482.01761,Ida Fault
283949.4730124032,6574890.696928023,477.99484,Ida Fault
283733.7814625079,6573486.043925934,498.99103,Ida Fault
283580.4857569771,6572487.732804911,493.94513,Ida Fault
283464.8309060633,6571734.551080264,493.9697,Ida Fault
283860.2700134411,6574309.778202418,485.98773,Ida Fault
283683.83068861347,6571378.954620195,484.94687,Ida Fault
283986.90098403185,6570886.85036809,482.0658,Ida Fault
284310.73128131614,6570361.037483549,472.99536,Ida Fault
284643.01190534956,6569479.944536604,470.11005,Ida Fault
284508.9710620018,6570039.1496559195,470.88522,Ida Fault
284850.2185944674,6568615.498757124,479.97867,Ida Fault
285008.7613674303,6567954.074014812,471.49875,Ida Fault
285211.9335946124,6567106.459610837,462.06558,Ida Fault
285443.63346792,6566139.830693405,454.14017,Ida Fault
285697.7286813957,6565079.77063545,452.22876,Ida Fault
285814.69868233445,6564591.783379491,459.78699,Ida Fault
286600.98440742394,6562786.677644974,444.08218,Ida Fault
287003.6402327116,6560841.86503768,425.16901,Ida Fault
286975.74241778196,6559970.4073182065,424.71768,Ida Fault
288661.7009269047,6557444.319884742,441.65912,Ida Fault
289554.72594485135,6555836.121225931,431.47461,Ida Fault
289352.0592781861,6554188.121225933,428.54776,Ida Fault
289170.7259448528,6552182.7878926005,417.86975,Ida Fault
289061.42060285644,6550876.196200471,422.28018,Ida Fault
289504.3001623159,6549033.598106766,418.44803,Ida Fault
289515.52042004786,6546875.006900547,437.67828,Ida Fault
289090.72594485,6544172.121225939,438.27951,Ida Fault
289197.3926115182,6543041.454559271,438.0614,Ida Fault
290178.7259448511,6540950.787892604,448.87134,Ida Fault
292173.39261151885,6538902.787892606,432.44638,Ida Fault
289378.7259448528,6542028.12122594,460.2088,Ida Fault
291176.0592781848,6539926.787892604,432.2066,Ida Fault
292914.72594484955,6537782.787892606,442.53659,Ida Fault
293656.0592781855,6536662.787892604,452.23718,Ida Fault
295245.39261151804,6535329.454559272,482.16293,Ida Fault
296920.05927818397,6534028.121225936,500.21671,Ida Fault
298417.8349391882,6532244.466149077,490.69617,Ida Fault
300619.2667616431,6530015.834604513,466.00635,Ida Fault
302967.3553627038,6527791.530317394,476.914,Ida Fault
305389.3926115169,6525004.121225942,487.90637,Ida Fault
307524.4646435904,6521909.513469858,478.263,Ida Fault
308866.72594484943,6518988.121225942,467.72379,Ida Fault
309771.438000771,6517019.042045401,481.9212,Ida Fault
311715.3661659366,6512764.338654943,485.7691,Ida Fault
314473.15183221217,6506698.699880874,434.4704,Ida Fault
