,X,Y,Z,fault_name
120,280213.0498673362,6597319.429675818,468.31995,Ida Fault
121,280311.8481343995,6596780.680914023,466.24869,Ida Fault
122,280551.67094676,6595857.437462845,465.82449,Ida Fault
123,280820.7148211178,6594535.674451215,480.94366,Ida Fault
124,280686.16710257705,6595339.668974329,472.99713,Ida Fault
125,281047.1842152573,6593702.173548106,491.7753,Ida Fault
126,281324.92832670826,6592657.048379432,471.02628,Ida Fault
127,281560.0050731621,6591686.824720908,466.88358,Ida Fault
128,281784.7085131407,6590759.414430825,468.73938,Ida Fault
129,282004.9037554198,6589796.659989161,474.07306,Ida Fault
130,282208.5747412312,6588879.777313847,480.47644,Ida Fault
131,282435.18028891843,6587825.196297854,484.22195,Ida Fault
132,282639.98831881746,6586818.707637941,481.41458,Ida Fault
133,282921.5209772065,6585435.170927004,489.73691,Ida Fault
134,283208.2490072077,6584026.102587137,482.93454,Ida Fault
135,283335.3422924008,6583401.5277091,480.0289,Ida Fault
136,283585.8722331006,6582090.218616389,472.68512,Ida Fault
137,283491.3775449184,6582634.723242093,481.9274,Ida Fault
138,283796.64126930526,6580875.708918817,478.98975,Ida Fault
139,283699.7326614208,6581434.123219963,472.57516,Ida Fault
140,283985.0460734855,6579980.693020294,485.00732,Ida Fault
141,284173.45087767125,6579085.677121769,483.86691,Ida Fault
142,284134.0101429059,6577711.191819923,465.95261,Ida Fault
143,284150.1020041576,6578271.983268154,474.02951,Ida Fault
144,284160.3963779352,6578630.735850628,478.90265,Ida Fault
145,284111.17295219604,6576915.329796614,466.04846,Ida Fault
146,284094.82306442864,6576345.546283271,472.99887,Ida Fault
147,284076.8860279864,6575720.451616721,482.01761,Ida Fault
148,283949.4730124032,6574890.696928023,477.99484,Ida Fault
149,283733.7814625079,6573486.043925934,498.99103,Ida Fault
150,283580.4857569771,6572487.732804911,493.94513,Ida Fault
151,283464.8309060633,6571734.551080264,493.9697,Ida Fault
152,283860.2700134411,6574309.778202418,485.98773,Ida Fault
153,283683.83068861347,6571378.954620195,484.94687,Ida Fault
154,283986.90098403185,6570886.85036809,482.0658,Ida Fault
155,284310.73128131614,6570361.037483549,472.99536,Ida Fault
156,284643.0119053496,6569479.944536604,470.11005,Ida Fault
157,284508.9710620018,6570039.14965592,470.88522,Ida Fault
158,284850.2185944674,6568615.498757124,479.97867,Ida Fault
159,285008.7613674303,6567954.074014812,471.49875,Ida Fault
160,285211.9335946124,6567106.459610837,462.06558,Ida Fault
161,285443.63346792,6566139.830693405,454.14017,Ida Fault
162,285697.7286813957,6565079.77063545,452.22876,Ida Fault
163,285814.69868233445,6564591.783379491,459.78699,Ida Fault
164,286600.98440742394,6562786.677644974,444.08218,Ida Fault
165,287003.6402327116,6560841.86503768,425.16901,Ida Fault
166,286975.742417782,6559970.407318207,424.71768,Ida Fault
167,288661.7009269047,6557444.319884742,441.65912,Ida Fault
168,289554.7259448513,6555836.121225931,431.47461,Ida Fault
169,289352.0592781861,6554188.121225933,428.54776,Ida Fault
170,289170.7259448528,6552182.7878926005,417.86975,Ida Fault
171,289061.42060285644,6550876.196200471,422.28018,Ida Fault
172,289504.3001623159,6549033.598106766,418.44803,Ida Fault
173,289515.52042004786,6546875.006900547,437.67828,Ida Fault
